temperature,wind,gust,cloud,humidity,weather
28,18,27,81,61,Rain
27,19,31,71,61,Rain
24,13,22,69,74,Rain
24,12,21,81,80,Rain
23,15,25,91,85,Rain
23,18,29,89,84,Rain
25,15,23,96,79,Rain
26,16,25,93,78,Rain
24,17,28,91,81,Rain
24,15,26,82,83,Rain
24,8,13,58,85,Rain
26,13,19,50,73,Rain
31,23,32,62,57,Rain
28,19,31,74,64,Rain
27,16,28,62,70,Rain
26,13,21,52,75,Rain
25,10,17,51,78,Rain
27,11,18,71,63,Rain
26,8,12,33,71,Rain
35,11,12,0,37,Sunny
36,13,15,0,34,Sunny
28,11,17,82,59,Rain
27,9,13,67,61,Rain
26,5,9,70,66,Rain
26,5,8,83,70,Rain
29,5,7,34,60,Rain
25,7,11,74,80,Rain
30,3,5,37,58,Rain
27,7,10,81,62,Rain
25,7,8,34,66,Rain
28,9,11,0,53,Sunny
33,10,11,1,36,Sunny
35,8,9,5,40,Sunny
26,11,13,0,79,Sunny
29,13,15,0,56,Sunny
35,14,17,0,30,Sunny
35,18,21,2,25,Sunny
24,7,9,4,66,Sunny
35,15,18,20,37,Sunny
34,18,21,4,29,Sunny
35,10,12,10,33,Sunny
36,8,9,11,35,Sunny
35,15,18,0,34,Sunny
35,19,22,0,32,Sunny
37,8,10,0,35,Sunny
37,14,16,3,28,Sunny
33,10,12,0,43,Sunny
38,10,12,4,26,Sunny
28,13,21,77,74,Rain
28,9,14,82,75,Rain
28,9,12,63,74,Rain
32,11,13,47,59,Rain
29,19,27,85,68,Rain
28,16,23,52,71,Rain
29,19,28,75,63,Rain
28,18,26,40,65,Rain
27,12,16,78,68,Rain
30,14,22,78,53,Rain
35,13,20,73,37,Rain
36,14,17,55,35,Rain
28,8,9,59,75,Rain
28,12,17,78,75,Rain
28,12,16,79,74,Rain
31,11,14,64,59,Rain
34,13,15,68,47,Rain
28,14,23,94,72,Rain
28,10,19,80,76,Rain
28,10,18,71,76,Rain
31,12,17,40,62,Rain
33,14,23,65,55,Rain
30,15,29,75,64,Rain
28,14,22,83,69,Rain
28,12,16,85,71,Rain
27,9,13,87,74,Rain
27,10,13,47,71,Rain
29,9,11,77,72,Rain
31,14,18,76,64,Rain
30,10,13,39,69,Rain
30,14,18,39,70,Rain
30,12,18,72,70,Rain
29,9,15,71,76,Rain
29,7,14,75,74,Rain
32,8,12,85,61,Rain
35,10,13,85,49,Rain
35,8,10,86,48,Rain
33,9,11,63,56,Rain
31,11,14,27,66,Rain
30,8,10,77,74,Rain
32,9,12,77,61,Rain
34,11,14,86,52,Rain
35,14,16,81,51,Rain
31,16,20,76,64,Rain
30,11,14,63,67,Rain
29,9,12,55,70,Rain
30,16,21,83,71,Rain
30,15,21,80,74,Rain
29,13,23,64,76,Rain
32,9,19,86,65,Rain
34,9,18,10,55,Rain
34,12,17,0,51,Rain
29,6,9,71,76,Rain
29,5,7,91,75,Rain
33,10,12,41,57,Rain
30,10,13,85,71,Rain
33,8,10,40,56,Rain
31,15,21,82,67,Rain
30,11,17,84,72,Rain
30,9,12,38,72,Rain
30,14,20,64,70,Rain
30,13,21,53,72,Rain
30,12,19,77,70,Rain
33,9,12,42,57,Rain
29,9,19,81,76,Rain
32,9,15,85,62,Rain
35,10,14,90,52,Rain
35,13,18,87,52,Rain
32,15,21,87,60,Rain
31,14,19,42,67,Rain
31,13,18,34,68,Rain
31,14,19,33,68,Rain
30,10,13,63,73,Rain
32,14,20,64,65,Rain
29,12,19,88,76,Rain
33,14,18,38,58,Rain
30,13,20,79,71,Rain
33,13,18,74,57,Rain
35,9,13,82,49,Rain
33,11,21,65,59,Rain
31,10,22,72,70,Rain
30,10,17,83,73,Rain
29,10,15,79,74,Rain
29,9,13,76,79,Rain
29,7,10,59,77,Rain
32,12,14,55,61,Rain
35,16,22,69,50,Rain
33,21,32,60,53,Rain
30,18,28,74,64,Rain
29,11,16,95,72,Rain
29,6,8,75,77,Rain
28,3,4,87,80,Rain
28,5,6,10,81,Rain
32,10,12,0,63,Rain
30,16,23,67,66,Rain
29,15,25,78,75,Rain
29,13,23,74,80,Rain
29,10,21,83,80,Rain
32,11,16,86,63,Rain
34,14,16,81,51,Rain
34,18,21,62,51,Rain
32,16,22,58,60,Rain
31,13,18,46,67,Rain
29,12,23,77,79,Rain
32,12,18,37,60,Rain
31,12,17,84,69,Rain
29,10,17,61,75,Rain
29,10,15,43,80,Rain
32,15,21,71,65,Rain
30,14,23,71,74,Rain
29,11,22,81,79,Rain
29,8,14,78,81,Rain
29,9,11,79,78,Rain
32,9,10,44,62,Rain
32,13,24,83,67,Rain
30,12,23,82,75,Rain
29,10,20,76,80,Rain
29,8,15,80,82,Rain
29,7,13,87,79,Rain
32,9,12,55,63,Rain
32,14,20,71,62,Rain
31,11,16,77,68,Rain
30,10,15,72,73,Rain
29,9,13,34,78,Rain
30,13,17,79,69,Rain
29,11,14,36,76,Rain
30,14,19,80,70,Rain
29,12,16,47,75,Rain
35,10,18,77,52,Rain
35,10,14,75,50,Rain
30,12,17,73,72,Rain
29,11,14,38,75,Rain
33,11,13,36,57,Rain
30,11,14,33,72,Rain
30,8,12,78,78,Rain
33,10,13,35,59,Rain
31,13,19,69,65,Rain
30,11,23,80,71,Rain
30,8,15,40,75,Rain
32,13,18,65,63,Rain
30,12,18,78,71,Rain
30,10,13,75,75,Rain
29,8,10,33,79,Rain
30,14,18,36,69,Rain
30,15,28,89,68,Rain
29,12,19,69,74,Rain
29,10,13,65,78,Rain
30,10,16,79,72,Rain
29,11,17,79,77,Rain
28,9,14,75,80,Rain
29,8,11,73,78,Rain
32,8,10,40,62,Rain
32,14,27,54,62,Rain
31,9,21,77,72,Rain
30,6,12,85,77,Rain
29,8,12,49,82,Rain
29,4,7,83,81,Rain
32,2,3,61,66,Rain
32,6,8,59,62,Rain
30,5,7,61,73,Rain
30,9,11,39,72,Rain
30,10,13,38,77,Rain
30,6,7,44,76,Rain
35,8,9,86,52,Rain
30,9,14,85,73,Rain
30,5,8,48,76,Rain
29,2,3,61,74,Rain
31,10,16,75,75,Rain
30,7,10,84,77,Rain
29,5,8,80,80,Rain
29,2,3,72,78,Rain
33,4,4,40,63,Rain
30,10,17,84,77,Rain
29,9,14,85,79,Rain
29,6,9,45,81,Rain
33,16,29,73,60,Rain
30,13,28,81,73,Rain
29,10,18,43,80,Rain
29,6,11,77,80,Rain
31,9,12,45,65,Rain
31,15,23,78,64,Rain
29,10,15,56,72,Rain
28,7,10,84,81,Rain
28,8,9,81,79,Rain
33,12,19,63,56,Rain
33,16,21,52,58,Rain
30,14,23,54,72,Rain
29,9,18,65,78,Rain
29,7,12,79,79,Rain
28,6,9,37,81,Rain
31,13,18,84,68,Rain
30,10,15,47,75,Rain
32,14,27,92,67,Rain
30,12,25,90,77,Rain
28,13,23,85,81,Rain
32,17,20,87,62,Rain
33,14,17,45,61,Rain
29,12,21,45,81,Rain
28,12,19,83,86,Rain
28,14,27,86,82,Rain
30,18,26,66,72,Rain
30,19,23,67,67,Rain
29,15,19,61,70,Rain
35,13,15,75,54,Rain
34,13,19,85,55,Rain
31,13,24,84,71,Rain
29,13,23,86,79,Rain
28,13,21,82,82,Rain
28,11,19,74,86,Rain
28,10,22,74,82,Rain
31,14,21,80,67,Rain
34,16,20,63,56,Rain
33,15,28,69,64,Rain
31,9,21,78,73,Rain
29,10,18,81,79,Rain
28,12,19,85,84,Rain
28,11,18,41,85,Rain
33,15,17,49,57,Rain
31,13,24,53,69,Rain
29,11,19,55,77,Rain
29,10,16,53,80,Rain
32,18,37,67,66,Rain
28,21,45,80,78,Rain
24,13,24,72,80,Rain
26,4,7,55,82,Rain
28,3,4,69,81,Rain
31,12,14,59,69,Rain
31,13,21,57,69,Rain
28,15,23,61,83,Rain
28,15,26,48,82,Rain
31,21,31,60,68,Rain
23,11,20,62,85,Rain
25,7,9,58,89,Rain
29,13,16,72,75,Rain
28,15,24,65,78,Rain
26,8,11,69,84,Rain
31,13,18,43,66,Rain
31,9,14,41,73,Rain
34,9,10,71,57,Rain
32,7,12,76,71,Rain
